Nlihc_id,Subsidy_id,Units_Assist,POA_start,POA_end,contract_number,rent_to_fmr_description,Subsidy_Active,Subsidy_Info_Source_ID,Subsidy_Info_Source,Subsidy_Info_Source_Date,Update_Dtm,Program,Compl_end,POA_end_prev,Agency,POA_start_orig,Portfolio,Subsidy_info_source_property,POA_end_actual
NL000040,1,193,12/1/2014,11/30/2015,DC39E000003,Below 80% FMR,Yes,800003681/DC39E000003,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 property disposition existing,11/30/2015,,US Dept of Housing and Urban Development,9/29/1995,Project-based section 8,800003681,N
NL000041,1,86,3/24/2012,3/23/2032,DC39E000005,Between 80% & 100% FMR,Yes,800025216/DC39E000005,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 property disposition existing,3/23/2032,,US Dept of Housing and Urban Development,9/29/1995,Project-based section 8,800025216,N
NL000041,2,86,1/1/1997,1/1/2027,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,1/1/2012,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/1997,LIHTC,,N
NL000043,1,274,,,,,Yes,,DCHA Website,4/17/2007,04SEP15:08:54:57,Public housing,,,DC Housing Authority,,Public housing,,N
NL000044,1,126,1/1/2004,1/1/2034,,,Yes,,HUD/LIHTC,4/30/2009,04SEP15:08:54:57,Low income housing tax credit,1/1/2019,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/2004,LIHTC,,N
NL000045,1,126,12/1/2004,12/1/2019,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,12/1/2019,,DC,12/1/2004,Tax exempt bond,,N
NL000045,2,126,11/1/2004,11/1/2044,,,No,35402,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 221(d)(4) Mkt. Rate Mod Inc/Disp Fams,11/1/2044,,US Dept of Housing and Urban Development,12/1/2004,HUD-insured mortgage,5228,10/29/2013
NL000045,3,126,12/1/2004,12/1/2044,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,DC housing production trust fund,12/1/2044,,DC,12/1/2004,DC housing production trust fund,,N
NL000045,4,126,1/1/2005,1/1/2035,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,1/1/2020,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/2005,LIHTC,,N
NL000045,5,126,11/1/2013,11/1/2053,,,Yes,35518,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 223(a)(7)/221(d)(4) MKT Refi/Moderate Income,11/1/2053,,,,HUD-insured mortgage,5228,N
NL000046,1,535,8/1/1977,8/1/2017,,,Yes,44142,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 236(j)(1)/Lower Income Families,8/1/2017,,US Dept of Housing and Urban Development,9/1/1977,HUD-insured mortgage,10624,N
NL000046,2,40,10/1/2015,9/30/2016,DC39L000069,Between 80% & 100% FMR,Yes,800003675/DC39L000069,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 loan management set-aside,9/30/2016,9/30/2015,US Dept of Housing and Urban Development,10/1/2010,Project-based section 8,800003675,N
NL000046,3,333,11/1/2015,10/31/2016,DC39M000051,Between 80% & 100% FMR,Yes,800003675/DC39M000051,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 loan management set-aside,10/31/2016,10/31/2015,US Dept of Housing and Urban Development,10/1/2010,Project-based section 8,800003675,N
NL000047,1,170,9/1/2008,8/31/2030,DC398023001,Between 141% & 160% FMR,Yes,800003683/DC398023001,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 new construction,8/31/2030,,US Dept of Housing and Urban Development,9/1/2008,Project-based section 8,800003683,N
NL000047,2,171,7/1/2012,11/1/2051,,,Yes,35475,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 221(d)(4) Mkt. Rate Mod Inc/Disp Fams,11/1/2051,,US Dept of Housing and Urban Development,7/1/2011,HUD-insured mortgage,22676,N
NL000048,1,,,,,,Yes,,NLIHC Value-Added,10/1/2008,04SEP15:08:54:57,Sec 202/811 capital advance,,,Other,,Section 202/811,,N
NL000048,2,40,5/1/2015,4/30/2016,DC39Q881003,Below 80% FMR,Yes,800003684/DC39Q881003,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 811 project rental assistance contract,4/30/2016,,US Dept of Housing and Urban Development,5/1/1994,Project rental assistance contract,800003684,N
NL000050,1,86,,,,,Yes,,DC/HFAPIPELINE,1/2/2008,04SEP15:08:54:57,Community development block grant,,,DC,,CDBG,,N
NL000050,2,,,,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,McKinney Vento Act loan,,,DC,,McKinney Vento,,N
NL000050,3,61,,,,,Yes,,DCHA Email,11/6/2008,04SEP15:08:54:57,Public housing,,,DC Housing Authority,,Public housing,,N
NL000050,4,86,,,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,,,DC,,Tax exempt bond,,N
NL000050,5,86,1/1/2006,1/1/2036,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,1/1/2021,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/2006,LIHTC,,N
NL000052,1,204,8/1/2006,8/1/2036,,,No,11185,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 207/223(f) Pur/Refin Hsg.,8/1/2036,,US Dept of Housing and Urban Development,9/1/2006,HUD-insured mortgage,1831,12/22/2011
NL000052,2,204,3/1/2012,2/29/2032,DC398023017,Between 121% & 130% FMR,Yes,800003685/DC398023017,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 new construction,2/29/2032,,US Dept of Housing and Urban Development,3/1/2009,Project-based section 8,800003685,N
NL000054,1,422,8/1/2002,8/1/2017,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,8/1/2017,,DC,8/1/2002,Tax exempt bond,,N
NL000054,2,422,8/1/2003,8/1/2033,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,8/1/2018,,DC Dept of Housing and Community Development; DC Housing Finance Agency,8/1/2003,LIHTC,,N
NL000054,3,648,11/1/2009,11/1/2044,,,No,11197,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 207/223(f) Pur/Refin Hsg.,11/1/2044,,US Dept of Housing and Urban Development,12/1/2009,HUD-insured mortgage,18623,3/31/2014
NL000055,1,93,4/1/1975,4/1/2015,,,No,44143,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 236(j)(1)/Lower Income Families,4/1/2015,,US Dept of Housing and Urban Development,5/1/1975,HUD-insured mortgage,10420,10/27/2000
NL000056,1,,,,,,No,,DCHA Website,4/17/2007,04SEP15:08:54:57,Public housing,,,DC Housing Authority,,Public housing,,U
NL000056,2,299,10/1/1976,9/1/2016,,,No,,HUD - Active Section 236 Projects,4/12/2006,04SEP15:08:54:57,Sec 236(j)(1)/Lower Income Families,9/1/2016,,US Dept of Housing and Urban Development,10/1/1976,HUD-insured mortgage,,U
NL000057,1,40,7/8/1987,7/7/2017,DC39H001001,Between 80% & 100% FMR,Yes,800003689/DC39H001001,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 housing finance agency new construction,7/7/2017,,US Dept of Housing and Urban Development,7/8/1987,Project-based section 8,800003689,N
NL000058,1,60,,,,,Yes,,DCHA Website,4/17/2007,04SEP15:08:54:57,Public housing,,,DC Housing Authority,,Public housing,,N
NL000060,1,95,1/1/2005,12/31/2025,DC390007010,Between 80% & 100% FMR,Yes,800003690/DC390007010,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 substantial rehabilitation,12/31/2025,,US Dept of Housing and Urban Development,1/1/2005,Project-based section 8,800003690,N
NL000060,2,95,1/1/2005,1/1/2035,,,Yes,35436,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 223(a)(7)/221(d)(4) MKT Refi/Moderate Income,1/1/2035,,US Dept of Housing and Urban Development,2/1/2005,HUD-insured mortgage,3228,N
NL000061,1,312,1/1/2001,1/1/2016,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,1/1/2016,,DC,1/1/2001,Tax exempt bond,,N
NL000061,2,312,1/1/2001,1/1/2041,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,DC housing production trust fund,1/1/2041,,DC,1/1/2001,DC housing production trust fund,,N
NL000061,3,312,1/1/2003,1/1/2033,,,Yes,,HUD/LIHTC,4/30/2009,04SEP15:08:54:57,Low income housing tax credit,1/1/2018,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/2003,LIHTC,,N
NL000061,4,312,12/1/2003,8/1/2033,,,Yes,97082,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 542(b) QPE Risk Sharing-Existing,8/1/2033,,US Dept of Housing and Urban Development,1/1/2004,HUD-insured mortgage,4231,N
NL000064,1,,,,,,Yes,,NLIHC Value-Added,10/1/2008,04SEP15:08:54:57,Sec 202/811 capital advance,,,Other,,Section 202/811,,N
NL000064,2,40,4/1/1997,3/31/2017,DC39S931002,Below 80% FMR,Yes,800000023/DC39S931002,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 202 project rental assistance contract,3/31/2017,,US Dept of Housing and Urban Development,4/1/1997,Project rental assistance contract,800000023,N
NL000065,1,230,,,,,Yes,,DC/HSNGDAT,5/1/2008,04SEP15:08:54:57,Tax exempt bond,,,DC,,Tax exempt bond,,N
NL000065,2,230,3/1/2004,11/1/2024,,,No,35427,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 223(a)(7)/221(d)(4) MKT Refi/Moderate Income,11/1/2024,,US Dept of Housing and Urban Development,4/1/2004,HUD-insured mortgage,4229,4/24/2009
NL000065,3,230,8/1/2014,7/31/2034,DC39A001003,Between 141% & 160% FMR,Yes,800003691/DC39A001003,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 substantial rehabilitation,7/31/2034,,US Dept of Housing and Urban Development,8/1/2005,Project-based section 8,800003691,N
NL000065,4,233,1/1/2007,1/1/2037,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,1/1/2022,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/2007,LIHTC,,N
NL000065,5,230,7/27/2007,7/27/2027,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Community development block grant,7/27/2027,,DC,7/27/2007,CDBG,,N
NL000066,1,15,,,,,Yes,,DCHA Document,2/1/2011,04SEP15:08:54:57,Public housing,,,DC Housing Authority,,Public housing,,N
NL000066,2,15,11/30/2003,11/30/2018,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,11/30/2018,,DC,11/30/2003,Tax exempt bond,,N
NL000066,3,15,11/30/2003,11/30/2023,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Community development block grant,11/30/2023,,DC,11/30/2003,CDBG,,N
NL000066,4,15,1/1/2004,1/1/2034,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,1/1/2019,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/2004,LIHTC,,N
NL000066,5,15,6/1/2004,5/1/2039,,,Yes,98027,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 542(c) HFA Risk Sharing-Recent Comp,5/1/2039,,US Dept of Housing and Urban Development,7/1/2004,HUD-insured mortgage,6431,N
NL000068,1,300,8/1/2011,8/1/2046,,,Yes,11211,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 223(a)(7)/207/223(f) Refinanced Insurance,8/1/2046,,US Dept of Housing and Urban Development,9/1/2011,HUD-insured mortgage,7230,N
NL000068,2,300,1/1/2001,1/1/2036,,,No,11175,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 207/223(f) Pur/Refin Hsg.,1/1/2036,,,,HUD-insured mortgage,7230,7/26/2011
NL000069,1,6,8/1/1982,7/1/2022,,,Yes,,HUD - Active 202/811 Loans,10/8/2010,04SEP15:08:54:57,Sec 202/8 direct loan/elderly-handicapped,7/1/2022,,US Dept of Housing and Urban Development,8/1/1982,Section 202/811,,N
NL000069,2,6,4/21/2011,4/20/2016,DC39T802001,Between 80% & 100% FMR,Yes,800003762/DC39T802001,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 202 new construction,4/20/2016,,US Dept of Housing and Urban Development,4/21/2003,Section 202/811,800003762,N
NL000070,1,20,2/2/2015,2/1/2020,DC39T781003,Over 160% FMR,Yes,800003807/DC39T781003,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 202 substantial rehabilitation,2/1/2020,,US Dept of Housing and Urban Development,11/2/1984,Section 202/811,800003807,N
NL000070,2,20,2/1/1987,1/1/2027,,,Yes,,HUD - Active 202/811 Loans,10/1/2009,04SEP15:08:54:57,Sec 202/8 direct loan/elderly-handicapped,1/1/2027,,US Dept of Housing and Urban Development,2/1/1987,Section 202/811,,N
NL000070,3,20,7/1/2006,7/1/2041,,,Yes,11189,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 207/223(f) Pur/Refin Hsg.,7/1/2041,,US Dept of Housing and Urban Development,8/1/2006,HUD-insured mortgage,1823,N
NL000071,1,343,,,,,Yes,,DCHA Website,4/17/2007,04SEP15:08:54:57,Public housing,,,DC Housing Authority,,Public housing,,N
NL000074,1,,,,,,Yes,,NLIHC Value-Added,10/1/2008,04SEP15:08:54:57,Sec 202/811 capital advance,,,Other,,Section 202/811,,N
NL000074,2,57,10/1/2015,9/30/2016,DC39S901001,Below 80% FMR,Yes,800003696/DC39S901001,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 202 project rental assistance contract,9/30/2016,9/30/2015,US Dept of Housing and Urban Development,10/1/1995,Project rental assistance contract,800003696,N
NL000075,1,21,,,,,Yes,,DCHA Document,10/1/2008,04SEP15:08:54:57,Public housing,,,DC Housing Authority,,Public housing,,N
