X,Y,OBJECTID,STORENAME,ADDRESS,PHONE,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,NOTES,X_COORD,Y_COORD,ADDRESS_ID,WARD,PRESENT09,PRESENT10,PRESENT11,PRESENT12,SSL
-77.0749096710841,38.9646007197797,31,Safeway,5545 CONNECTICUT AVE NW,(202) 244-6097,,,,,, ,393508.13,144078.34,263999,Ward 3,,,,,1867    0092
-77.0631725219928,38.9445067759291,32,Giant,4303 CONNECTICUT AVENUE NW,2023648250,,,,,, ,394523.79,141846.96,301784,Ward 3,,,,,2049    0805
-77.0255289765214,38.9410364720749,33,Yes! Organic,4100 GEORGIA AVE NW,(202) 291-5790,,,,,,Petworth,397786.99,141460.14,300492,Ward 4,,,,,2910    0810
-77.0265506219358,38.9695284026818,34,Safeway,6500 PINEY BRANCH ROAD NW,2027235644,,,,,, ,397699.34,144623.03,285341,Ward 4,,,,,2974    0020
-77.0272851396928,38.962078321939,35,Walmart,5929 GEORGIA AVENUE NW,2027193770,,,,,, ,397635.44,143796.02,254296,Ward 4,,,,,2986    0039
-76.9946635503182,38.8833902666176,36,Yes! Organic,410 8TH STREET SE,2025464325,,,,,, ,400463.21,135060.64,300093,Ward 6,,,,,0925    0026
-77.0054945550213,38.9060230649162,37,Harris Teeter,1201 1ST ST NE,(202) 589-0351,,,,,,Constitution Square,399523.62,137573.06,303728,Ward 6,,,,,0711    0816
-76.96667323466,38.8590322190389,38,Safeway,2845 ALABAMA AVENUE SE,2025757525,,,,,, ,402892.75,132357.23,278282,Ward 7,,,,,5642    0001
-77.0171618053437,38.8776215046911,39,Safeway,1100 4TH STREET SW,2025549155,,,,,, ,398511.05,134420.39,307170,Ward 6,,,,,0542    0872
-77.0000965513043,38.8762243023973,40,Harris Teeter,401 M ST SE,(202) 554-0164,,,,,,The Yards,399991.82,134265.15,309432,Ward 6,,,,,0771    0811
-77.0316197616187,38.9185067273571,41,Yes! Organic,2123 14TH STREET NW,2022326603,,,,,,U Street,397258.09,138959.31,306454,Ward 1,,,,,0235    0204
-76.9508811561746,38.9208509565686,42,Costco,2441 MARKET STREET NE,2022698540,,,,,, ,404259.71,139220.21,309925,Ward 5,,,,,4327    0004
-77.0121619448478,38.9003920687558,43,Walmart,99 H STREET NW,2027192110,,,,,,H street,398960.4,136949.39,310062,Ward 6,,,,,0623    0835
-77.0490699137686,38.9009185733382,44,Whole Foods,2201 I STREET NW,2022961660,,,,,,Foggy Bottom,395743.74,137007.55,310098,Ward 2,,,,,0054    0843
-76.9797723281526,38.9005750820908,45,Safeway,1601 MARYLAND AVENUE NE,2023986903,,,,,, ,401754.81,136968.47,297814,Ward 5,,,,,4493    0001
