Nlihc_id,Status,Subsidized,Cat_Expiring,Cat_Failing_Insp,Proj_Name,Proj_Addre,Proj_City,Proj_ST,Proj_Zip,Proj_Units_Tot,Proj_Units_Assist_Min,Proj_Units_Assist_Max,Hud_Own_Effect_dt,Hud_Own_Name,Hud_Own_Type,Hud_Mgr_Name,Hud_Mgr_Type,Subsidy_Start_First,Subsidy_Start_Last,Subsidy_End_First,Subsidy_End_Last,Ward2012,PBCA,Anc2012,Psa2012,Geo2010,Cluster_tr2000,Cluster_tr2000_name,Zip,Proj_image_url,Proj_streetview_url,Proj_address_id,Proj_x,Proj_y,Proj_lat,Proj_lon,Bldg_count,Update_Dtm,Subsidy_info_source_property,contract_number,Nlihc_id,Category_Code,Cat_At_Risk,Cat_More_Info,Cat_Lost,Cat_Replaced
NL000021,Active,Yes,Yes,No,Allen House,3760 Minnesota Avenue NE,Washington,DC,20019,96,96,96,09/28/1990,Upper Room Housing Corporation,Non-profit,Equity Management II LLC,Profit motivated,10/21/1991,06/01/2009,10/20/2031,05/01/2044,Ward 7,Yes,ANC 7F,PSA 603,Tract 96.03,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",ZIP 20019,http://citizenatlas.dc.gov/mobilevideo/20040718/DI095550.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.8917806,-76.95199994&cbp=11,304.597443585832,,0,2.09",30794,404164.19,135993.94,38.8917806,-76.95199994,1,01MAR16:15:34:26,0000017826,DC39T871003,NL000021,5 - Other Subsidized Property,No,No,No,No
NL000023,Active,Yes,Yes,No,Anchor Housing,1609 Lawrence Street NE,Washington,DC,20018,9,9,9,,Anchor Housing Corp.,Non-profit,L. Hayes & Assoc. Inc.,Profit motivated,05/01/1982,12/21/2001,12/20/2019,10/01/2021,Ward 5,Yes,ANC 5B,PSA 504,Tract 93.01,Cluster 22,"Brookland, Brentwood, Langdon",ZIP 20018,http://citizenatlas.dc.gov/mobilevideo/20040619/MJ115935.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.93179601,-76.98202438&cbp=11,171.456888600403,,0,2.09",60033,401558.58,140435.04,38.93179601,-76.98202438,1,03FEB16:14:05:12,,DC39T792003,NL000023,5 - Other Subsidized Property,No,No,No,No
NL000026,Active,Yes,Yes,No,Asbury Dwellings,1616 Marion Street NW,Washington,DC,20001,147,147,147,12/22/1982,"Asbury Dwellings, Inc.",Non-profit,Edgewood Management Corporation,Profit motivated,01/01/1983,12/01/2008,12/01/2022,11/01/2043,Ward 6,Yes,ANC 6E,PSA 308,Tract 48.01,Cluster 7,"Shaw, Logan Circle",ZIP 20001,http://citizenatlas.dc.gov/mobilevideo/20040926/QQ090329.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.91208339,-77.02157786&cbp=11,87.1539099429913,,0,2.09",279266,398128.57,138246.84,38.91208339,-77.02157786,1,01MAR16:15:34:26,0000000032,DC392764201,NL000026,5 - Other Subsidized Property,No,No,No,No
NL000027,Active,Yes,Yes,No,Aspen Court,6676 Georgia Avenue NW,Washington,DC,20012,105,105,105,,Cca-Aspen Court Lp / Robert Copeland,,,Individual,07/01/2000,01/01/2001,07/01/2015,01/01/2031,Ward 4,No,ANC 4A,PSA 401,Tract 18.04,Cluster 17,"Takoma, Brightwood, Manor Park",ZIP 20012,http://citizenatlas.dc.gov/mobilevideo/20040811/DB080616.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.97209125,-77.0273625&cbp=11,170.972090079506,,0,2.09",253375,397628.87,144908.38,38.97209125,-77.0273625,1,03SEP15:17:34:41,,,NL000027,1 - At-Risk or Flagged for Follow-up,Yes,No,No,No
NL000028,Active,Yes,Yes,No,Atlantic Gardens,4216 4th Street SE,Washington,DC,20032,108,108,108,,Washington Rehabilitation Associates,Profit motivated,"Winn Managed Properties, LLC",Profit motivated,04/06/1983,04/06/1983,06/30/2024,06/30/2024,Ward 8,Yes,ANC 8D,PSA 706,Tract 98.11,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.82781202,-77.00005977&cbp=11,96.3757418298849,,0,2.09",147359,399994.81,128891.87,38.82781202,-77.00005977,1,01MAR16:15:34:26,0000003828,DC390007006,NL000028,2 - Expiring Subsidy,No,No,No,No
NL000029,Active,Yes,Yes,No,Atlantic Terrace,4301 3rd Street SE,Washington,DC,20032,196,196,196,,Atlantic Terrace Limited Partnership,Profit motivated,"Winn Managed Properties, LLC",Profit motivated,01/01/1989,11/01/2004,01/01/2019,10/31/2024,Ward 8,No,ANC 8D,PSA 708,Tract 98.10,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.82984458,-77.00246115&cbp=11,277.847313152735,,0,2.09",295768,399786.3,129117.5,38.82984458,-77.00246115,1,01MAR16:15:34:26,0000003426,DC39M000099,NL000029,2 - Expiring Subsidy,No,No,No,No
NL000031,Active,Yes,Yes,No,Azeeze Bates,1521 F Street NE,Washington,DC,20002,91,91,91,11/13/2006,Azeeze Bates Limited Partnership,Limited dividend,Horning Brothers,Profit motivated,12/01/2006,01/01/2007,11/30/2026,01/01/2037,Ward 6,Yes,ANC 6A,PSA 507,Tract 79.01,Cluster 25,"NoMa, Union Station, Stanton Park, Kingman Park",ZIP 20002,,,297798,401477.65,136476.46,38.89613593,-76.98296629,1,01MAR16:15:34:26,,DC39M000060,NL000031,5 - Other Subsidized Property,No,No,No,No
NL000032,Active,Yes,Yes,No,Banneker Place Apts,407 Ridge Road SE; 409 Ridge Road SE; 411 Ridge Road SE,Washington,DC,20019,348,348,348,,Dupont Park Apartments Joint Venture,,,Individual,09/01/2000,09/01/2000,09/01/2020,09/01/2020,Ward 7,No,ANC 7F,PSA 603,Tract 77.03,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",ZIP 20019,http://citizenatlas.dc.gov/mobilevideo/20041017/QH134620.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.88419451,-76.9479237&cbp=11,249.774230104037,,0,2.09",150815,404504.09,135154.13333,38.884213623,-76.94808747,3,03SEP15:17:34:41,,,NL000032,5 - Other Subsidized Property,No,No,No,No
NL000033,Active,Yes,Yes,No,Barnaby Manor (The Gregory),840 Barnaby Street SE,Washington,DC,20032,126,50,126,,Chesapeake Development Lp / Hr Crawford,,,Individual,01/01/2001,04/01/2001,04/01/2016,01/01/2031,Ward 8,No,ANC 8E,PSA 706,Tract 98.02,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.83175917,-76.99199775&cbp=11,299.873274060751,,0,2.09",295925,400694.81,129330.06,38.83175917,-76.99199775,1,03SEP15:17:34:41,,,NL000033,2 - Expiring Subsidy,No,No,No,No
NL000034,Active,Yes,No,No,Barry Farm,1230 Sumner Road SE,Washington,DC,20020,432,432,432,,,Individual,,Individual,,,,,Ward 8,No,ANC 8C,PSA 703,Tract 74.01,Cluster 37,"Sheridan, Barry Farm, Buena Vista",ZIP 20020,http://citizenatlas.dc.gov/mobilevideo/20041011/MB103259.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.86060929,-76.99664957&cbp=11,39.7042065110089,,0,2.09",285960,400290.79,132532.6,38.86060929,-76.99664957,1,03SEP15:17:34:41,,,NL000034,5 - Other Subsidized Property,No,No,No,No
NL000035,Inactive,No,No,No,Barry Homes,1619 1st Street NW,Washington,DC,20001,24,N,N,12/21/1999,DC Local Development Corp.,,Kriegsfeld Corporation,Limited dividend,N,N,N,N,Ward 5,No,ANC 5E,PSA 501,Tract 46,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",ZIP 20001,http://citizenatlas.dc.gov/mobilevideo/20040831/QV130154.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.91169075,-77.01190124&cbp=11,99.6329772867899,,0,2.09",236758,398967.81,138203.1,38.91169075,-77.01190124,1,03SEP15:17:34:41,,,NL000035,6 - Lost Rental,No,No,Yes,No
NL000036,Active,Yes,Yes,No,Beecher Cooperative,2307 41st Street NW,Washington,DC,20007,26,18,18,,Beecher Cooperative,Non-profit,Beecher Cooperative,Non-profit,05/01/2001,05/01/2001,04/30/2021,04/30/2021,Ward 3,Yes,ANC 3B,PSA 204,Tract 3,Cluster 14,"Cathedral Heights, McLean Gardens, Glover Park",ZIP 20007,http://citizenatlas.dc.gov/mobilevideo/20040831/OV092400.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.92137841,-77.08047362&cbp=11,93.9266489582012,,0,2.09",224285,393021.5,139281.52,38.92137841,-77.08047362,1,03FEB16:14:05:12,,DC390010018,NL000036,5 - Other Subsidized Property,No,No,No,No
NL000037,Active,Yes,Yes,No,Belmont Crossing (Jeffrey Gardens),4201 7th Street SE,Washington,DC,20032,273,273,273,,"KSI Services, Inc. / Seventh Street SE LP",,Kettler Management / Oak Johnson,,01/17/2002,01/01/2003,01/01/2018,08/01/2044,Ward 8,No,ANC 8D,PSA 706,Tract 98.11,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,http://citizenatlas.dc.gov/mobilevideo/20041012/OC135059.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.82890029,-76.99665762&cbp=11,286.136210583492,,0,2.09",149585,400290.22,129012.68,38.82890029,-76.99665762,1,01MAR16:15:34:26,0000006627,,NL000037,5 - Other Subsidized Property,No,No,No,No
NL000038,Active,Yes,Yes,No,Benning Courts,1703 Benning Road NE,Washington,DC,20002,97,97,97,09/29/1978,Gales Place Associates,Profit motivated,Horning Brothers,Profit motivated,09/01/2006,09/01/2006,08/31/2016,08/31/2016,Ward 6,Yes,ANC 6A,PSA 507,Tract 79.01,Cluster 25,"NoMa, Union Station, Stanton Park, Kingman Park",ZIP 20002,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.89912037,-76.97891289&cbp=11,179.970385693924,,0,2.09",297820,401829.2,136807.83,38.89912037,-76.97891289,1,03FEB16:14:05:12,,DC390005009,NL000038,2 - Expiring Subsidy,No,No,No,No
NL000039,Active,Yes,Yes,No,Benning Heights,4806 Alabama Avenue SE,Washington,DC,20019,148,148,148,08/01/1983,Benning Heights Limited Partnership,Profit motivated,"Winn Managed Properties, LLC",Profit motivated,06/01/2005,07/01/2005,06/01/2030,05/23/2035,Ward 7,Yes,ANC 7F,PSA 605,Tract 99.07,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",ZIP 20019,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.88208722,-76.93992495&cbp=11,353.783162399397,,0,2.09",152229,405212.45,134918.52,38.88208722,-76.93992495,1,01MAR16:15:34:26,0000002830,DC39H001003,NL000039,5 - Other Subsidized Property,No,No,No,No
NL000040,Active,Yes,Yes,No,Benning Park Terrace,5113 Fitch Street SE,Washington,DC,20019,281,193,193,09/25/1998,Benning Park Neighborhood Corp,Non-profit,Edgewood Management Corporation,Profit motivated,09/29/1995,09/29/1995,11/30/2015,11/30/2015,Ward 7,Yes,ANC 7E,PSA 604,Tract 77.07,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",ZIP 20019,,,288506,406249.64,134729.16,38.88037463,-76.92797275,1,03FEB16:14:05:12,,DC39E000003,NL000040,2 - Expiring Subsidy,No,No,No,No
NL000041,Active,Yes,Yes,No,Benning Road Apts,4228 Benning Road NE,Washington,DC,20019,86,86,86,09/13/1995,"Benning Road Cooperative Association,inc.",Limited dividend,NMI Property Management LLC,Profit motivated,09/29/1995,01/01/1997,01/01/2027,03/23/2032,Ward 7,Yes,ANC 7D,PSA 602,Tract 78.03,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",ZIP 20019,http://citizenatlas.dc.gov/mobilevideo/20040708/D8072352.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.89300136,-76.9415986&cbp=11,31.6659004518072,,0,2.09",24953,405066.46,136129.98,38.89300136,-76.9415986,1,03FEB16:14:05:12,,DC39E000005,NL000041,5 - Other Subsidized Property,No,No,No,No
NL000043,Active,Yes,No,No,Benning Terrace,4450 G Street SE,Washington,DC,20019,274,274,274,,,Individual,,Individual,,,,,Ward 7,No,ANC 7F,PSA 604,Tract 99.07,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",ZIP 20019,http://citizenatlas.dc.gov/mobilevideo/20041017/QH113141.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.88060194,-76.93690837&cbp=11,265.089149356982,,0,2.09",21041,405474.3,134753.82,38.88060194,-76.93690837,1,03SEP15:17:34:41,,,NL000043,5 - Other Subsidized Property,No,No,No,No
NL000044,Active,Yes,Yes,No,River Hill Apts (Bolling View),2942 2nd Street SE,Washington,DC,20032,126,126,126,,"Cih Bolling View, Lp",,,Individual,01/01/2004,01/01/2004,01/01/2034,01/01/2034,Ward 8,No,ANC 8C,PSA 707,Tract 104,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,http://citizenatlas.dc.gov/mobilevideo/20041007/O7111022.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.8467257,-77.00512034&cbp=11,188.777556336787,,0,2.09",150563,399555.51,130991.43,38.8467257,-77.00512034,1,03SEP15:17:34:41,,,NL000044,5 - Other Subsidized Property,No,No,No,No
NL000045,Active,Yes,Yes,No,Royal Courts Apts (Bowling Green Apts),3719 4th Street SE,Washington,DC,20032,126,126,126,,"Bowling Green Apartments, LP",,,Individual,12/01/2004,01/01/2005,12/01/2019,11/01/2053,Ward 8,No,ANC 8C,PSA 707,Tract 98.03,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.8368229,-77.00181431&cbp=11,236.024460670222,,0,2.09",147492,399844.79,129887.15,38.83677795,-77.00178771,1,01MAR16:15:34:26,0000005228,,NL000045,5 - Other Subsidized Property,No,No,No,No
NL000046,Active,Yes,Yes,No,Brookland Manor (Brentwood Village Apts),1301 Saratoga Avenue NE; 1303 Saratoga Avenue NE; 1305 Saratoga Avenue NE; others,Washington,DC,20018,535,535,535,11/23/1971,Brentwood Associates,Limited dividend,Edgewood Management Corporation,Profit motivated,09/01/1977,10/01/2010,09/30/2016,08/01/2017,Ward 5,Yes,ANC 5C,PSA 505,Tract 91.02,Cluster 22,"Brookland, Brentwood, Langdon",ZIP 20018,http://citizenatlas.dc.gov/mobilevideo/20040815/QF093315.jpg,,149898,401205.06561,139411.12268,38.922572789,-76.98610337,82,01MAR16:15:34:26,0000010624,DC39M000051,NL000046,1 - At-Risk or Flagged for Follow-up,Yes,No,No,No
NL000047,Active,Yes,Yes,No,Paul Lawrence Dunbar (Campbell Heights),2001 15th Street NW,Washington,DC,20009,171,171,171,07/02/2010,"Paul Laurence Dunbar Apartments, LP",Profit motivated,"Grep Atlantic, LLC (Greystar)",Profit motivated,09/01/2008,07/01/2011,08/31/2030,11/01/2051,Ward 1,Yes,ANC 1B,PSA 301,Tract 43,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",ZIP 20009,http://citizenatlas.dc.gov/mobilevideo/20040823/QN073538.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.9174725,-77.03417182&cbp=11,86.6673636299066,,0,2.09",239975,397036.53,138845.41,38.9174725,-77.03417182,1,01MAR16:15:34:26,0000022676,DC398023001,NL000047,5 - Other Subsidized Property,No,No,No,No
NL000048,Active,Yes,Yes,No,Capital Commons,4202 13th Street NW,Washington,DC,20011,40,40,40,09/22/1992,"Nbc-Usa Housing, Inc., Twenty-Four",Non-profit,"Taliafaro, Inc.",Profit motivated,05/01/1994,05/01/1994,04/30/2016,04/30/2016,Ward 4,No,ANC 4C,PSA 404,Tract 25.01,Cluster 18,"Brightwood Park, Crestwood, Petworth",ZIP 20011,http://citizenatlas.dc.gov/mobilevideo/20040728/MS105457.jpg,,259628,397370.97,141622.55,38.9424909,-77.03032603,1,03FEB16:14:05:12,,DC39Q881003,NL000048,2 - Expiring Subsidy,No,No,No,No
NL000050,Active,Yes,Yes,No,Capitol Gateway Sf Rental,5725 East Capitol Street SE,Washington,DC,20019,86,61,86,,A & R/Thc Llc,,,Individual,01/01/2006,01/01/2006,01/01/2036,01/01/2036,Ward 7,No,ANC 7E,PSA 604,Tract 99.03,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",ZIP 20019,http://citizenatlas.dc.gov/mobilevideo/20040728/DS110153.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.88948775,-76.91977628&cbp=11,170.256765120561,,0,2.09",288717,406959.94,135741.38,38.88948775,-76.91977628,1,03SEP15:17:34:41,,,NL000050,5 - Other Subsidized Property,No,No,No,No
NL000052,Active,Yes,Yes,No,Capitol Hill Apartments,900 G Street NE,Washington,DC,20002,204,204,204,12/22/2011,New Capitol Hill Towers Associates LLC,Profit motivated,Abel Bishop Clarke Realty,Profit motivated,03/01/2009,03/01/2009,02/29/2032,02/29/2032,Ward 6,Yes,ANC 6A,PSA 104,Tract 84.02,Cluster 25,"NoMa, Union Station, Stanton Park, Kingman Park",ZIP 20002,http://citizenatlas.dc.gov/mobilevideo/20040825/MP094703.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.89924616,-76.99381277&cbp=11,352.836692942684,,0,2.09",289042,400536.71,136821.6,38.89924616,-76.99381277,1,01MAR16:15:34:26,0000001831,DC398023017,NL000052,5 - Other Subsidized Property,No,No,No,No
NL000054,Active,Yes,Yes,No,Capitol Park Plaza & Twins,103 G Street SW,Washington,DC,20024,648,422,648,,Wilson SEcurities,,,Individual,08/01/2002,08/01/2003,08/01/2017,08/01/2033,Ward 6,No,ANC 6D,PSA 105,Tract 105,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",ZIP 20024,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.88163859,-77.01345178&cbp=11,353.05726424938,,0,2.09",297573,398832.84,134867.09,38.88163859,-77.01345178,1,01MAR16:15:34:26,0000018623,,NL000054,5 - Other Subsidized Property,No,No,No,No
NL000055,Inactive,No,Yes,No,Capitol Towers Elderly,208 Massachusetts Avenue NE,Washington,DC,20002,93,N,N,,,Individual,,Individual,N,N,N,N,Ward 6,No,ANC 6C,PSA 104,Tract 83.01,Cluster 25,"NoMa, Union Station, Stanton Park, Kingman Park",ZIP 20002,http://citizenatlas.dc.gov/mobilevideo/20040829/MT065957.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.8952445,-77.00291482&cbp=11,21.8207456995531,,0,2.09",286606,399744.28,136386.65,38.8953281,-77.0029478,1,01MAR16:15:34:26,0000010420,,NL000055,6 - Lost Rental,No,No,Yes,No
NL000056,Inactive,No,Yes,No,Capitol View Plaza Phase II,5901 East Capitol Street SE,Washington,DC,20019,299,299,299,,,Individual,,Individual,10/01/1976,10/01/1976,09/01/2016,09/01/2016,Ward 7,No,ANC 7E,PSA 604,Tract 99.03,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",ZIP 20019,,"http://maps.google.com/maps?z=16&layer=c&cbll=38.8894198,-76.9158902&cbp=11,179.541259283022,,0,2.09",302595,407297.09,135734.14,38.8894198,-76.9158902,1,03SEP15:17:34:41,,,NL000056,6 - Lost Rental,No,No,Yes,No
NL000057,Active,Yes,Yes,No,Carmel Plaza North,200 K Street NW,Washington,DC,20001,133,40,40,12/12/1985,"Carmel Plaza North Associates, L.LP",Limited dividend,W. H. H. Trice & Co,Profit motivated,07/08/1987,07/08/1987,07/07/2017,07/07/2017,Ward 6,No,ANC 6E,PSA 103,Tract 47.02,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",ZIP 20001,http://citizenatlas.dc.gov/mobilevideo/20041003/Q3074337.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.9022293,-77.01419361&cbp=11,100.937965956259,,0,2.09",238362,398768.83,137152.83,38.9022293,-77.01419361,1,03FEB16:14:05:12,,DC39H001001,NL000057,5 - Other Subsidized Property,No,No,No,No
