TYPE;CODE;NAME;SHEETS
TRACT;11001008410;84.10;1
TRACT;11001008701;87.01;1
TRACT;11001008702;87.02;1
TRACT;11001008802;88.02;1
TRACT;11001008803;88.03;1
TRACT;11001008804;88.04;1
TRACT;11001008903;89.03;1
TRACT;11001008904;89.04;1
TRACT;11001009000;90;1
TRACT;11001009102;91.02;1
TRACT;11001009201;92.01;1
TRACT;11001009203;92.03;1
TRACT;11001009204;92.04;1
TRACT;11001009301;93.01;1
TRACT;11001009302;93.02;1
TRACT;11001009400;94;1
TRACT;11001009501;95.01;1
TRACT;11001009503;95.03;1
TRACT;11001009504;95.04;1
TRACT;11001009505;95.05;1
TRACT;11001009507;95.07;1
TRACT;11001009508;95.08;1
TRACT;11001009509;95.09;1
TRACT;11001009601;96.01;1
TRACT;11001009602;96.02;1
TRACT;11001009603;96.03;1,2
TRACT;11001009604;96.04;1,2
TRACT;11001009700;97;2
TRACT;11001009801;98.01;2
TRACT;11001009802;98.02;2
TRACT;11001009803;98.03;2
TRACT;11001009804;98.04;2
TRACT;11001009807;98.07;2
TRACT;11001009810;98.10;2
TRACT;11001009811;98.11;2
TRACT;11001009901;99.01;2
TRACT;11001009902;99.02;2
TRACT;11001009903;99.03;2
TRACT;11001009904;99.04;2
TRACT;11001009905;99.05;2
TRACT;11001009906;99.06;2
TRACT;11001009907;99.07;2
TRACT;11001010100;101;1
TRACT;11001010200;102;2
TRACT;11001010300;103;1
TRACT;11001010400;104;2
TRACT;11001010500;105;2
TRACT;11001010600;106;1
TRACT;11001010700;107;1
TRACT;11001010800;108;1,2
TRACT;11001010900;109;2
TRACT;11001011000;110;2
TRACT;11001011100;111;1
